Date,Title,Artist
22/11/1987,La bamba,Los Lobos
29/11/1987,La bamba,Los Lobos
06/12/1987,La bamba,Los Lobos
13/12/1987,La bamba,Los Lobos
20/12/1987,La bamba,Los Lobos
27/12/1987,La bamba,Los Lobos
03/01/1988,Étienne,Guesch Patti
10/01/1988,Étienne,Guesch Patti
17/01/1988,Étienne,Guesch Patti
24/01/1988,Étienne,Guesch Patti
31/01/1988,Étienne,Guesch Patti
07/02/1988,Boys (Summertime Love),Sabrina
14/02/1988,Boys (Summertime Love),Sabrina
21/02/1988,Boys (Summertime Love),Sabrina
28/02/1988,Boys (Summertime Love),Sabrina
06/03/1988,Boys (Summertime Love),Sabrina
13/03/1988,Nothing's Gonna Change My Love For You,Glenn Medeiros
20/03/1988,Nothing's Gonna Change My Love For You,Glenn Medeiros
27/03/1988,Nothing's Gonna Change My Love For You,Glenn Medeiros
03/04/1988,Nothing's Gonna Change My Love For You,Glenn Medeiros
10/04/1988,Nothing's Gonna Change My Love For You,Glenn Medeiros
17/04/1988,Nothing's Gonna Change My Love For You,Glenn Medeiros
24/04/1988,Nothing's Gonna Change My Love For You,Glenn Medeiros
01/05/1988,Nothing's Gonna Change My Love For You,Glenn Medeiros
08/05/1988,N'importe quoi,Florent Pagny
15/05/1988,N'importe quoi,Florent Pagny
22/05/1988,N'importe quoi,Florent Pagny
29/05/1988,N'importe quoi,Florent Pagny
05/06/1988,N'importe quoi,Florent Pagny
12/06/1988,N'importe quoi,Florent Pagny
19/06/1988,N'importe quoi,Florent Pagny
26/06/1988,N'importe quoi,Florent Pagny
03/07/1988,J'ai faim de toi,Sandy
10/07/1988,J'ai faim de toi,Sandy
17/07/1988,Nuit de folie,Début de soirée
24/07/1988,Nuit de folie,Début de soirée
31/07/1988,Nuit de folie,Début de soirée
07/08/1988,Nuit de folie,Début de soirée
14/08/1988,Nuit de folie,Début de soirée
21/08/1988,Nuit de folie,Début de soirée
28/08/1988,Nuit de folie,Début de soirée
04/09/1988,Nuit de folie,Début de soirée
11/09/1988,Nuit de folie,Début de soirée
18/09/1988,Un roman d'amitié,Elsa et Glenn Medeiros
25/09/1988,Un roman d'amitié,Elsa et Glenn Medeiros
02/10/1988,Un roman d'amitié,Elsa et Glenn Medeiros
09/10/1988,Un roman d'amitié,Elsa et Glenn Medeiros
